example_id                                            | status | run_time        |
./spec/requests/health_spec.rb[1:1:3:1]               | passed | 0.25144 seconds |
./spec/requests/jobs_spec.rb[1:1:1:1]                 | passed | 0.19232 seconds |
./spec/requests/jobs_spec.rb[1:1:1:2]                 | passed | 0.3028 seconds  |
./spec/requests/jobs_spec.rb[1:1:2:1]                 | passed | 0.67965 seconds |
./spec/requests/jobs_spec.rb[1:1:2:2]                 | passed | 0.07968 seconds |
./spec/requests/jobs_spec.rb[1:1:2:3]                 | passed | 0.10802 seconds |
./spec/requests/jobs_spec.rb[1:1:3:1]                 | passed | 0.25158 seconds |
./spec/requests/jobs_spec.rb[1:1:4:1]                 | passed | 0.13931 seconds |
./spec/requests/jobs_spec.rb[1:1:4:2]                 | passed | 0.17519 seconds |
./spec/requests/jobs_spec.rb[1:1:4:3]                 | passed | 0.21232 seconds |
./spec/requests/jobs_spec.rb[1:2:1]                   | passed | 0.23856 seconds |
./spec/requests/jobs_spec.rb[1:2:2]                   | passed | 0.40848 seconds |
./spec/services/concurrency_guard_spec.rb[1:1:1]      | passed | 0.16897 seconds |
./spec/services/concurrency_guard_spec.rb[1:1:2]      | passed | 0.15826 seconds |
./spec/services/concurrency_guard_spec.rb[1:1:3]      | passed | 0.20087 seconds |
./spec/services/concurrency_guard_spec.rb[1:1:4]      | passed | 0.22495 seconds |
./spec/services/concurrency_guard_spec.rb[1:1:5]      | passed | 0.18176 seconds |
./spec/services/concurrency_guard_spec.rb[1:2:1]      | passed | 0.14985 seconds |
./spec/services/concurrency_guard_spec.rb[1:2:2]      | passed | 0.09724 seconds |
./spec/services/concurrency_guard_spec.rb[1:2:3]      | passed | 0.22285 seconds |
./spec/services/concurrency_guard_spec.rb[1:3:1]      | passed | 0.36218 seconds |
./spec/services/concurrency_guard_spec.rb[1:3:2]      | passed | 0.26937 seconds |
./spec/services/concurrency_guard_spec.rb[1:4:1]      | passed | 0.13846 seconds |
./spec/services/concurrency_guard_spec.rb[1:5:1]      | passed | 0.14837 seconds |
./spec/services/concurrency_guard_spec.rb[1:5:2]      | passed | 0.48891 seconds |
./spec/services/concurrency_guard_spec.rb[1:6:1]      | passed | 0.21906 seconds |
./spec/services/health_checker_spec.rb[1:1:1:1]       | passed | 0.10765 seconds |
./spec/services/health_checker_spec.rb[1:1:1:2]       | passed | 0.19864 seconds |
./spec/services/health_checker_spec.rb[1:1:1:3]       | passed | 0.20564 seconds |
./spec/services/health_checker_spec.rb[1:1:2:1]       | passed | 0.15852 seconds |
./spec/services/health_checker_spec.rb[1:1:3:1]       | passed | 0.15977 seconds |
./spec/services/heartbeat_monitor_spec.rb[1:1:1]      | passed | 0.46993 seconds |
./spec/services/heartbeat_monitor_spec.rb[1:1:2]      | passed | 0.13599 seconds |
./spec/services/heartbeat_monitor_spec.rb[1:1:3]      | passed | 0.2156 seconds  |
./spec/services/heartbeat_monitor_spec.rb[1:1:4]      | passed | 0.14103 seconds |
./spec/services/heartbeat_monitor_spec.rb[1:1:5]      | passed | 0.13639 seconds |
./spec/services/heartbeat_monitor_spec.rb[1:2:1]      | passed | 0.21788 seconds |
./spec/services/heartbeat_monitor_spec.rb[1:3:1]      | passed | 0.10643 seconds |
./spec/services/job_executor_spec.rb[1:1:1]           | passed | 0.36133 seconds |
./spec/services/job_executor_spec.rb[1:1:2]           | passed | 0.25045 seconds |
./spec/services/job_executor_spec.rb[1:1:3]           | passed | 0.34519 seconds |
./spec/services/job_executor_spec.rb[1:2:1]           | passed | 0.4847 seconds  |
./spec/services/job_executor_spec.rb[1:2:2]           | passed | 0.52246 seconds |
./spec/services/job_executor_spec.rb[1:2:3]           | passed | 0.34419 seconds |
./spec/services/job_executor_spec.rb[1:3:1]           | passed | 0.18875 seconds |
./spec/services/job_executor_spec.rb[1:3:2]           | passed | 0.13256 seconds |
./spec/services/job_executor_spec.rb[1:4:1]           | passed | 0.25178 seconds |
./spec/services/job_state_machine_spec.rb[1:1:1:1]    | passed | 0.20868 seconds |
./spec/services/job_state_machine_spec.rb[1:1:1:2]    | passed | 0.18405 seconds |
./spec/services/job_state_machine_spec.rb[1:1:1:3]    | passed | 0.10277 seconds |
./spec/services/job_state_machine_spec.rb[1:1:1:4]    | passed | 0.3972 seconds  |
./spec/services/job_state_machine_spec.rb[1:1:1:5]    | passed | 0.25075 seconds |
./spec/services/job_state_machine_spec.rb[1:1:1:6]    | passed | 0.39637 seconds |
./spec/services/job_state_machine_spec.rb[1:1:2:1]    | passed | 0.16969 seconds |
./spec/services/job_state_machine_spec.rb[1:1:2:2]    | passed | 0.17175 seconds |
./spec/services/job_state_machine_spec.rb[1:1:2:3]    | passed | 0.17994 seconds |
./spec/services/job_state_machine_spec.rb[1:1:2:4]    | passed | 0.16302 seconds |
./spec/services/job_state_machine_spec.rb[1:1:3:1]    | passed | 0.2276 seconds  |
./spec/services/job_state_machine_spec.rb[1:1:3:2]    | passed | 0.25151 seconds |
./spec/services/job_state_machine_spec.rb[1:1:4:1]    | passed | 0.21585 seconds |
./spec/services/job_state_machine_spec.rb[1:2:1]      | passed | 0.20615 seconds |
./spec/services/job_state_machine_spec.rb[1:2:2]      | passed | 0.21159 seconds |
./spec/services/job_submission_service_spec.rb[1:1:1] | passed | 0.10006 seconds |
./spec/services/job_submission_service_spec.rb[1:1:2] | passed | 0.18294 seconds |
./spec/services/job_submission_service_spec.rb[1:1:3] | passed | 0.45933 seconds |
./spec/services/job_submission_service_spec.rb[1:2:1] | passed | 0.14042 seconds |
./spec/services/job_submission_service_spec.rb[1:2:2] | passed | 0.16382 seconds |
./spec/services/job_submission_service_spec.rb[1:2:3] | passed | 7.2 seconds     |
./spec/services/job_submission_service_spec.rb[1:3:1] | passed | 0.23974 seconds |
./spec/services/job_submission_service_spec.rb[1:3:2] | passed | 0.15508 seconds |
./spec/services/retry_handler_spec.rb[1:1:1]          | passed | 0.26234 seconds |
./spec/services/retry_handler_spec.rb[1:1:2]          | passed | 0.23408 seconds |
./spec/services/retry_handler_spec.rb[1:1:3]          | passed | 0.36586 seconds |
./spec/services/retry_handler_spec.rb[1:1:4]          | passed | 0.21747 seconds |
./spec/services/retry_handler_spec.rb[1:1:5]          | passed | 0.14239 seconds |
./spec/services/retry_handler_spec.rb[1:2:1]          | passed | 0.18083 seconds |
./spec/services/retry_handler_spec.rb[1:2:2]          | passed | 0.09628 seconds |
./spec/services/retry_handler_spec.rb[1:2:3]          | passed | 0.06967 seconds |
./spec/services/scheduler_spec.rb[1:1:1]              | passed | 0.63036 seconds |
./spec/services/scheduler_spec.rb[1:2:1]              | passed | 1.2 seconds     |
./spec/services/scheduler_spec.rb[1:3:1]              | passed | 0.44343 seconds |
./spec/services/scheduler_spec.rb[1:4:1]              | passed | 0.29481 seconds |
./spec/services/scheduler_spec.rb[1:5:1]              | passed | 0.40885 seconds |
./spec/services/scheduler_spec.rb[1:5:2]              | passed | 0.06128 seconds |
./spec/services/scheduler_spec.rb[1:6:1]              | passed | 0.52273 seconds |
